Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
TC_CA_001,Verify Client Approval module loads successfully,Functional,P1,User is authenticated and has access to Client Approval (Module ID 6961),"1. Log in to KAIRO
2. Navigate to Identities > Client Approval
3. Wait for the page to load completely",Page loads without errors. Filter Criteria section, Pending Approvals section and Status Reasons section are all visible. No JavaScript errors in console.,,,Not Executed,,,
TC_CA_002,Verify initial action button states on load,UI,P1,Client Approval module is loaded,"1. Observe the action panel buttons (View / Approve / Reject / Cancel)
2. Note the enabled/disabled state of each button","View, Approve and Reject buttons are disabled. Cancel button is enabled. No client is selected.",,,Not Executed,,,
TC_CA_003,Verify module ID is correctly set to 6961,Integration,P2,Client Approval module is loaded,"1. Inspect the hidden field #moduleId in the DOM (browser DevTools)
2. Confirm its value","Hidden field #moduleId has value '6961'.",,,Not Executed,,,
TC_CA_004,Verify default branch is auto-populated from session,Functional,P1,"Client Approval module is loaded, user session contains a valid OurBranchID","1. Observe the Branch ID field (#txt_branchId) on page load
2. Observe the branch hidden field (#txt_branchIdValue)
3. Observe the branch name label (#spn_branchName)","#txt_branchId is pre-filled with the session branch ID. #txt_branchIdValue holds the branch ID. #spn_branchName shows the branch name from session.",,,Not Executed,,,
TC_CA_005,Verify hidden fields for default branch are present in DOM,UI,P2,Client Approval module is loaded,"1. Open browser DevTools
2. Inspect for #hdn_defaultBranchId and #hdn_defaultBranchName elements","Both hidden fields exist and contain the server-side default branch ID and name respectively.",,,Not Executed,,,
TC_CA_006,Verify Client Type dropdown is populated from server,Functional,P1,Client Approval module is loaded,"1. Click the Client Type dropdown (#ddl_clientType)
2. Observe the available options","Dropdown is populated with client type options loaded server-side via ViewData['ClientTypeOptions']. A default placeholder 'Select Type' is shown.",,,Not Executed,,,
TC_CA_007,Verify Filter Criteria section can be collapsed and expanded,UI,P3,Client Approval module is loaded,"1. Click the toggle button (#btn_toggleFilters) on the Filter Criteria section header
2. Observe the section content
3. Click the toggle button again","Section collapses on first click (content hidden). Section expands on second click (content visible). Toggle icon changes accordingly.",,,Not Executed,,,
TC_CA_008,Verify Branch ID search button opens branch search modal,Functional,P1,Client Approval module is loaded,"1. Click the search icon button (#btn_searchBranch) next to the Branch ID field
2. Observe the modal or search panel","A branch search modal opens allowing the user to search and select a branch.",,,Not Executed,,,
TC_CA_009,Verify selecting a branch via search modal updates the Branch ID field,Functional,P1,Branch search modal is open,"1. Search for and double-click or select a valid branch in the modal
2. Observe the Branch ID field and branch name label","#txt_branchId is updated with the selected branch code/ID. #txt_branchIdValue is updated with the branch ID. #spn_branchName shows the selected branch name.",,,Not Executed,,,
